surface_name	site_name	species_name	formation_energy	frequencies	reference
VNNC	graphene	COOH	-2.09	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
VNNCC	graphene	COOH	-1.14	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
VNNNCC	graphene	COOH	-0.89	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
VNNNNCC	graphene	COOH	-0.8	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
MnNCC	graphene	COOH	0.12	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
MnNNC	graphene	COOH	-2.17	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
MnNNCC	graphene	COOH	-0.64	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
MnNNNCC	graphene	COOH	-0.11	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
MnNNNNCC	graphene	COOH	-0.06	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RhNCC	graphene	COOH	-0.78	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RhNNC	graphene	COOH	-1.69	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RhNNCC	graphene	COOH	-1.29	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RhNNNCC	graphene	COOH	-1.23	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RhNNNNCC	graphene	COOH	-1.07	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RuNCC	graphene	COOH	-1.31	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RuNNC	graphene	COOH	-1.88	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RuNNCC	graphene	COOH	-1.53	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RuNNNCC	graphene	COOH	-1.87	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
RuNNNNCC	graphene	COOH	-1.61	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNC	graphene	COOH	-2.73	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNCC	graphene	COOH	-1.9	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNNC	graphene	COOH	-3.48	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNNCC	graphene	COOH	-2.01	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNNNC	graphene	COOH	-3.0	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNNNCC	graphene	COOH	-1.37	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
TiNNNNCC	graphene	COOH	-1.85	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CrNCC	graphene	COOH	0.17	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CrNNC	graphene	COOH	-2.28	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CrNNCC	graphene	COOH	-0.46	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CrNNNC	graphene	COOH	-1.51	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CrNNNCC	graphene	COOH	-0.87	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CrNNNNCC	graphene	COOH	-0.58	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
CoNC	graphene	CO2	-1.03	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
CoNNC	graphene	CO2	-1.84	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
CoNNCC	graphene	CO2	-0.73	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
CoNNNCC	graphene	CO2	-0.43	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
FeNC	graphene	CO2	-1.18	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
FeNNC	graphene	CO2	-1.07	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
FeNNCC	graphene	CO2	-1.21	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
FeNNNCC	graphene	CO2	-1.1	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
FeCC	graphene	CO2	-1.0	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
FeNNNNCC	graphene	CO2	-0.57	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
NiNC	graphene	CO2	-1.43	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
NiNCC	graphene	CO2	-0.13	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
NiNNC	graphene	CO2	-1.18	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
NiNNCC	graphene	CO2	0.04	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
NiNNNCC	graphene	CO2	0.1	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
NiCC	graphene	CO2	-1.1	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
VNNC	graphene	CO2	-1.04	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNC	graphene	CO2	-0.52	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNCC	graphene	CO2	-1.25	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNNC	graphene	CO2	-1.37	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNNCC	graphene	CO2	-1.91	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNNNC	graphene	CO2	-1.67	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNNNCC	graphene	CO2	-1.39	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
MnNNNNCC	graphene	CO2	-2.37	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNC	graphene	CO2	-0.21	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNCC	graphene	CO2	-0.67	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNNC	graphene	CO2	-1.58	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNNCC	graphene	CO2	-1.0	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNNNC	graphene	CO2	-1.81	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNNNCC	graphene	CO2	-0.71	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RhNNNNCC	graphene	CO2	-0.74	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RuNC	graphene	CO2	-1.45	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RuNNC	graphene	CO2	-1.05	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
RuNNCC	graphene	CO2	-1.4	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
